COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
10007,彰化縣,10007120,田中鎮,30973,30246,30766,31499,30957,31144,109Y11M
10007,彰化縣,10007130,大村鄉,42163,42238,42255,38972,39047,39326,109Y11M
10007,彰化縣,10007140,埔鹽鄉,22194,22189,22130,24922,24709,24948,109Y11M
10007,彰化縣,10007150,埔心鄉,30553,30674,30672,31715,31599,31790,109Y11M
10007,彰化縣,10007160,永靖鄉,23001,22971,23007,26752,26737,26953,109Y11M
10007,彰化縣,10007170,社頭鄉,26173,26090,26154,32107,31719,32136,109Y11M
10007,彰化縣,10007180,二水鄉,8767,8666,8682,11485,11448,11418,109Y11M
10007,彰化縣,10007190,北斗鎮,28391,28159,28370,28874,28674,28803,109Y11M
10007,彰化縣,10007200,二林鎮,34787,34917,34838,38900,38516,38699,109Y11M
10007,彰化縣,10007210,田尾鄉,18157,18447,18230,22397,23123,22774,109Y11M
10007,彰化縣,10007220,埤頭鄉,22047,22180,22095,24494,24307,24446,109Y11M
10007,彰化縣,10007230,芳苑鄉,26731,26691,26616,28296,28440,28022,109Y11M
10007,彰化縣,10007240,大城鄉,10171,10242,10312,11519,11596,11570,109Y11M
10007,彰化縣,10007250,竹塘鄉,8069,8126,8050,9943,10010,9842,109Y11M
10007,彰化縣,10007260,溪州鄉,20355,20494,20352,23270,23336,23116,109Y11M
10008,南投縣,10008010,南投市,98575,97748,98193,90290,88682,89482,109Y11M
10008,南投縣,10008020,埔里鎮,77119,77472,77168,81434,81710,80927,109Y11M
10008,南投縣,10008030,草屯鎮,84953,85397,85092,91839,91543,92037,109Y11M
10008,南投縣,10008040,竹山鎮,43383,43704,43438,48913,48883,48305,109Y11M
10008,南投縣,10008050,集集鎮,8630,8650,8606,8524,8707,8474,109Y11M
10008,南投縣,10008060,名間鄉,25609,25868,25719,30402,30760,30590,109Y11M
10008,南投縣,10008070,鹿谷鄉,18022,15499,16330,19908,18999,18597,109Y11M
10008,南投縣,10008080,中寮鄉,7420,7378,7350,10627,10711,10537,109Y11M
10008,南投縣,10008090,魚池鄉,15429,15397,15227,21662,22727,20810,109Y11M
10008,南投縣,10008100,國姓鄉,11351,11441,11386,17582,17241,17206,109Y11M
10008,南投縣,10008110,水里鄉,12994,12927,12839,13495,13572,13224,109Y11M
10008,南投縣,10008120,信義鄉,11029,10779,10834,14582,14389,14218,109Y11M
10008,南投縣,10008130,仁愛鄉,18165,18171,17882,28475,28249,26797,109Y11M
10009,雲林縣,10009010,斗六市,140559,140995,140701,127299,127534,127750,109Y11M
10009,雲林縣,10009020,斗南鎮,37321,37234,37370,39722,39145,39645,109Y11M
10009,雲林縣,10009030,虎尾鎮,73583,73741,73641,72134,72067,72273,109Y11M
10009,雲林縣,10009040,西螺鎮,37857,38299,37899,38742,38754,38541,109Y11M
10009,雲林縣,10009050,土庫鎮,17728,17793,17834,19533,19270,19442,109Y11M
10009,雲林縣,10009060,北港鎮,29985,29783,29892,30801,30138,30433,109Y11M
10009,雲林縣,10009070,古坑鄉,22114,21794,21914,26985,27437,26613,109Y11M
10009,雲林縣,10009080,大埤鄉,11281,11373,11299,12834,12841,12936,109Y11M
10009,雲林縣,10009090,莿桐鄉,19663,19718,19680,23229,22843,23234,109Y11M
10009,雲林縣,10009100,林內鄉,11388,11156,11264,12648,12409,12559,109Y11M
10009,雲林縣,10009110,二崙鄉,15777,15615,15681,17907,17507,17866,109Y11M
10009,雲林縣,10009120,崙背鄉,16940,17403,17200,20067,20149,20196,109Y11M
10009,雲林縣,10009130,麥寮鄉,55678,54058,55120,38441,37843,38542,109Y11M
10009,雲林縣,10009140,東勢鄉,8258,8310,8292,9584,9544,9584,109Y11M
10009,雲林縣,10009150,褒忠鄉,8808,8731,8776,9329,9061,9207,109Y11M
10009,雲林縣,10009160,臺西鄉,11951,12264,12022,14823,15174,14873,109Y11M
10009,雲林縣,10009170,元長鄉,14653,14852,14747,16456,16330,16420,109Y11M
10009,雲林縣,10009180,四湖鄉,11753,11677,11743,13367,13136,13174,109Y11M
